Prolific_id,Time taken,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Total approvals,Status
participant_112,15.333333333333334,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),113,APPROVED
participant_95,15.35,23,Male,White,Sweden,Sweden,Sweden,Swedish,No,Full-Time,190,APPROVED
participant_101,42.733333333333334,31,Female,Black,South Africa,South Africa,South Africa,Other,No,Full-Time,72,APPROVED
participant_116,19.966666666666665,55,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,71,APPROVED
participant_99,17.8,29,Male,Black,Nigeria,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,204,APPROVED
participant_113,21.816666666666666,30,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time,1072,APPROVED
participant_102,8.95,33,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,168,APPROVED
participant_110,12.083333333333334,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),155,APPROVED
participant_92,48.5,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,80,APPROVED
participant_126,11.966666666666667,29,Female,White,Poland,Poland,Poland,Polish,No,Full-Time,507,APPROVED
participant_108,9.316666666666666,29,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time,112,APPROVED
participant_97,17.216666666666665,37,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED,348,APPROVED
participant_103,12.266666666666667,41,Male,Other,Canada,Canada,Canada,English,No,Full-Time,31,APPROVED
participant_111,16.566666666666666,41,Male,White,Germany,Netherlands,Germany,German,No,Full-Time,191,APPROVED
participant_147,15.433333333333334,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),622,APPROVED
participant_133,16.183333333333334,26,Male,Black,South Africa,South Africa,South Africa,Other,No,Full-Time,191,APPROVED
participant_153,15.75,24,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,887,APPROVED
participant_132,9.216666666666667,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,34,APPROVED
participant_143,15.066666666666666,39,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,867,APPROVED
participant_135,14.5,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1224,APPROVED
participant_144,13.333333333333334,25,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time,219,APPROVED
participant_157,11.216666666666667,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,990,APPROVED
participant_139,23.3,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2,APPROVED
participant_145,12.083333333333334,33,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time,23,APPROVED
participant_142,9.833333333333334,23,Male,White,Italy,United Kingdom,Italy,English,Yes,Part-Time,270,APPROVED
participant_152,9.0,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2855,APPROVED
participant_155,16.15,26,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time,330,APPROVED
participant_131,18.033333333333335,35,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Due to start a new job within the next month,289,APPROVED
participant_156,17.366666666666667,35,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,119,APPROVED
participant_148,9.85,41,Female,White,Poland,Poland,Poland,Polish,No,Full-Time,1294,APPROVED
participant_130,19.166666666666668,18,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking),122,APPROVED
participant_129,14.833333333333334,55,Male,White,Canada,United Kingdom,Canada,French,No,Unemployed (and job seeking),35,APPROVED
participant_136,9.616666666666667,33,Male,White,China,China,China,Chinese,No,Part-Time,145,APPROVED
participant_140,39.916666666666664,33,Male,Black,United States,United States,United States,English,No,Part-Time,8,APPROVED
participant_146,17.533333333333335,23,Male,Black,Kenya,Kenya,Kenya,English,Yes,Part-Time,118,APPROVED
participant_138,9.25,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,1973,APPROVED
participant_150,11.883333333333333,33,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,343,APPROVED
participant_151,24.833333333333332,54,Male,White,Germany,Greece,Greece,Greek,No,Part-Time,684,APPROVED
participant_179,16.683333333333334,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,171,APPROVED
participant_181,9.2,26,Female,White,United States,Spain,United States,English,No,Full-Time,118,APPROVED
participant_171,18.466666666666665,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,376,APPROVED
participant_180,37.95,32,Male,Mixed,United States,United States,United States,English,No,Full-Time,0,APPROVED
participant_184,16.85,41,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,695,APPROVED
participant_170,34.45,31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,103,APPROVED
participant_182,25.2,35,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,716,APPROVED
participant_174,21.983333333333334,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,262,APPROVED
participant_166,14.733333333333333,49,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Unemployed (and job seeking),35,APPROVED
participant_159,12.033333333333333,23,Female,White,Greece,Greece,Greece,Greek,No,Full-Time,422,APPROVED
participant_167,9.0,24,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),250,APPROVED
participant_176,12.766666666666667,32,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,258,APPROVED
participant_162,9.183333333333334,43,Female,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking),48,APPROVED
participant_178,13.866666666666667,66,Male,White,Italy,Italy,Italy,Italian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1125,APPROVED
participant_158,31.133333333333333,32,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,16,APPROVED
participant_177,27.533333333333335,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,91,APPROVED
participant_163,18.0,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,371,APPROVED
participant_168,16.4,24,Male,Asian,India,India,India,English,Yes,Part-Time,140,APPROVED
participant_164,20.016666666666666,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),177,APPROVED
participant_183,10.933333333333334,30,Female,White,Italy,Italy,Italy,Italian,No,Full-Time,238,APPROVED
participant_160,17.133333333333333,75,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2234,APPROVED
participant_165,28.483333333333334,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,745,APPROVED
participant_172,22.266666666666666,32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,13,APPROVED
participant_185,19.9,31,Female,Asian,Vietnam,Australia,Vietnam,Vietnamese,No,Full-Time,470,APPROVED
participant_196,19.216666666666665,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,1055,APPROVED
participant_213,12.083333333333334,39,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time,172,APPROVED
participant_205,11.016666666666667,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,1128,APPROVED
participant_199,17.8,41,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,89,APPROVED
participant_188,28.9,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,52,APPROVED
participant_191,15.716666666666667,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",731,APPROVED
participant_206,7.816666666666666,48,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,282,APPROVED
participant_207,16.966666666666665,27,Female,White,Italy,Italy,Italy,Italian,No,Part-Time,517,APPROVED
participant_211,10.85,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,57,APPROVED
participant_203,17.45,21,Female,Black,Brazil,Brazil,Brazil,Portuguese,Yes,DATA_EXPIRED,11,APPROVED
participant_192,24.983333333333334,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),37,APPROVED
participant_210,13.316666666666666,23,Male,White,Poland,Poland,United States,Polish,Yes,Part-Time,484,APPROVED
participant_212,13.366666666666667,23,Male,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking),130,APPROVED
participant_193,14.916666666666666,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),174,APPROVED
participant_201,32.38333333333333,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,10,APPROVED
participant_187,25.383333333333333,41,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,629,APPROVED
participant_200,17.783333333333335,23,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,4,APPROVED
participant_209,18.9,27,Female,White,Greece,Greece,Greece,Greek,No,Part-Time,472,APPROVED
participant_186,10.916666666666666,19,Female,Black,South Africa,South Africa,South Africa,Portuguese,Yes,Other,86,APPROVED
participant_204,16.283333333333335,25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2,APPROVED
participant_198,11.466666666666667,31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,1,APPROVED
participant_208,16.033333333333335,51,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,178,APPROVED
participant_197,24.9,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,14,APPROVED
participant_195,19.466666666666665,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,157,APPROVED
participant_221,9.3,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2493,APPROVED
participant_215,18.65,24,Male,Mixed,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time,961,APPROVED
participant_230,6.033333333333333,37,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,271,APPROVED
participant_224,17.966666666666665,36,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Full-Time,1128,APPROVED
participant_227,37.666666666666664,23,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),114,APPROVED
participant_233,16.766666666666666,43,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED,852,APPROVED
participant_225,12.466666666666667,25,Female,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED,196,APPROVED
participant_229,8.083333333333334,27,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,487,APPROVED
participant_223,8.683333333333334,21,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking),50,APPROVED
participant_231,17.65,54,Female,Mixed,Zimbabwe,South Africa,South Africa,English,Yes,Unemployed (and job seeking),44,APPROVED
participant_222,17.3,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,39,APPROVED
participant_218,29.7,24,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,35,APPROVED
participant_228,15.366666666666667,30,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,379,APPROVED
participant_241,8.016666666666667,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,327,APPROVED
participant_240,7.083333333333333,27,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking),1201,APPROVED
participant_232,9.333333333333334,30,Female,Mixed,Chile,Chile,Chile,Spanish,Yes,Full-Time,171,APPROVED
participant_237,5.483333333333333,24,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,100,APPROVED
participant_235,14.35,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other,208,APPROVED
participant_220,18.65,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,177,APPROVED
participant_238,12.483333333333333,23,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking),86,APPROVED
participant_217,13.466666666666667,53,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,179,APPROVED
participant_216,10.55,45,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,877,APPROVED
participant_239,22.8,25,Male,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time,177,APPROVED
participant_219,15.516666666666667,25,Female,Asian,Iran,Canada,Iran,Farsi,No,Full-Time,17,APPROVED
participant_255,17.75,30,Male,White,Germany,Germany,Germany,German,Yes,Due to start a new job within the next month,112,APPROVED
participant_268,12.3,34,Female,Black,South Africa,South Africa,South Africa,Other,No,Full-Time,150,APPROVED
participant_243,12.833333333333334,55,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,137,APPROVED
participant_261,17.016666666666666,32,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),622,APPROVED
participant_273,14.683333333333334,31,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time,224,APPROVED
participant_252,36.15,51,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,18,APPROVED
participant_250,8.5,26,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,829,APPROVED
participant_256,11.166666666666666,34,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time,110,APPROVED
participant_242,10.05,35,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,547,APPROVED
participant_264,9.933333333333334,30,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time,100,APPROVED
participant_249,16.016666666666666,31,Male,Asian,India,United Kingdom,India,English,No,Full-Time,903,APPROVED
participant_247,10.216666666666667,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),68,APPROVED
participant_269,13.066666666666666,26,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time,74,APPROVED
participant_270,15.9,23,Male,White,United States,Italy,United States,Italian,Yes,Unemployed (and job seeking),384,APPROVED
participant_257,13.966666666666667,26,Female,White,Ukraine,France,Poland,English,Yes,Full-Time,205,APPROVED
participant_258,15.516666666666667,21,Female,White,Spain,Spain,Spain,Catalan,Yes,Other,164,APPROVED
participant_259,13.133333333333333,24,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time,108,APPROVED
participant_248,15.966666666666667,33,Male,White,Italy,Italy,Italy,Italian,No,Part-Time,22,APPROVED
participant_272,12.75,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1187,APPROVED
participant_244,14.983333333333333,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,47,APPROVED
participant_251,15.783333333333333,63,Male,White,Netherlands,Portugal,Netherlands,Dutch,No,Other,498,APPROVED
participant_253,19.733333333333334,20,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,434,APPROVED
participant_260,22.516666666666666,28,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time,378,APPROVED
participant_246,15.483333333333333,28,Female,White,Greece,Greece,Greece,Greek,No,Full-Time,381,APPROVED
participant_279,10.65,41,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,3,APPROVED
participant_287,15.65,25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,339,APPROVED
participant_277,33.516666666666666,18,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,2,APPROVED
participant_295,18.483333333333334,39,Female,White,South Africa,South Africa,South Africa,Afrikaans,Yes,Full-Time,234,APPROVED
participant_305,21.266666666666666,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2434,APPROVED
participant_284,18.283333333333335,28,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time,72,APPROVED
participant_294,11.883333333333333,34,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,113,APPROVED
participant_292,14.283333333333333,32,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time,845,APPROVED
participant_290,19.15,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,309,APPROVED
participant_288,23.35,36,Female,White,Greece,Greece,Greece,Greek,No,Full-Time,432,APPROVED
participant_289,6.75,21,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),219,APPROVED
participant_306,25.366666666666667,38,Male,Black,Kenya,Kenya,Kenya,Swahili,Yes,Full-Time,166,APPROVED
participant_278,9.333333333333334,21,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Part-Time,276,APPROVED
participant_303,10.3,27,Male,Asian,Philippines,Australia,Australia,Tagalog-Filipino,No,Unemployed (and job seeking),693,APPROVED
participant_300,11.783333333333333,38,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,71,APPROVED
participant_274,12.383333333333333,23,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,979,APPROVED
participant_281,12.166666666666666,31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,63,APPROVED
participant_304,66.75,48,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time,477,APPROVED
participant_286,13.666666666666666,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",3223,APPROVED
participant_283,21.75,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,20,APPROVED
participant_291,8.983333333333333,32,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,489,APPROVED
participant_282,12.916666666666666,39,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,161,APPROVED
participant_297,11.383333333333333,41,Male,Black,Nigeria,Poland,Nigeria,English,Yes,Full-Time,407,APPROVED
participant_314,9.683333333333334,26,Female,White,Spain,Spain,Spain,Spanish,Yes,Due to start a new job within the next month,189,APPROVED
participant_330,9.566666666666666,74,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,456,APPROVED
participant_320,12.05,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,203,APPROVED
participant_332,7.166666666666667,27,Female,Other,South Africa,South Africa,South Africa,English,Yes,Full-Time,119,APPROVED
participant_321,11.9,31,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,330,APPROVED
