,image,edge_density,mean_h_channel,mean_s_channel,mean_v_channel,std_h_channel,std_s_channel,std_v_channel,cnn_symmetry_left_right,cnn_symmetry_up_down,slope_redies,fourier_sigma,2d_fractal_dimension,1st_order_eoe,room_type,reading,gaming,socializing,cleaning,playing,exercise,working,shopping,enclosed area,far-away horizon,open area,semi-enclosed area,bed,window ,cabinet,table,plant,chair,"painting, picture",sofa,lamp,cushion,flower,book,light,orientation5,length7,curvature7
1679,restaurant_5587.png,110.069,0.1126,0.2634,0.6948,0.1425,0.2201,0.2517,0.4678,0.2702,-2.643,0.01204,1.356,4.017,restaurant,0.4930888731425571,0.2846171647382093,0.5844519886871188,0.3021644792417841,0.2622205984119447,0.243547376588869,0.3506331085322362,0.2886981761036383,0.7553153101143901,0.2917994041798429,0.2706497646778287,0.2732477140057948,0,1,0,1,1,1,1,0,0,0,1,0,1,3098.79056049932,171.238204507828,14.4012695108733
1680,restaurant_5589.png,110.732,0.04988,0.7774,0.7731,0.0741,0.2194,0.217,0.4745,0.4611,-2.666,0.008974,1.44,4.058,restaurant,0.4066290613566751,0.2911093084997467,0.48785120051202,0.2741639045250217,0.2538597695375317,0.2385735546341352,0.2481203172961515,0.2391036493301851,0.774624742430008,0.257345403239881,0.2267406149644331,0.2837413475095098,0,1,1,1,1,1,1,0,0,0,1,0,0,3196.40468680367,368.64005763436,16.5712689523888
1681,restaurant_5591.png,137.437,0.01972,0.4919,0.2927,0.1602,0.308,0.2687,0.4306,0.4495,-2.634,0.01315,1.516,3.856,restaurant,0.4398335068844135,0.3142851635728627,0.593267441091631,0.2728905336394249,0.2362564018070308,0.2508836635126273,0.4129787297567815,0.273421242376821,0.7769790498933564,0.2476933776539094,0.1964015061107337,0.2936510087397022,0,1,0,1,0,1,1,0,1,0,0,0,0,3323.3486911618,0.0,20.9227497601684
1682,restaurant_5613.png,142.032,0.07651,0.5501,0.5063,0.09523,0.2837,0.2591,0.5049,0.5075,-2.777,0.01265,1.444,4.275,restaurant,0.3897196579698316,0.265700017133317,0.5158580004193237,0.2610553309338705,0.2315262707079009,0.2105204359607616,0.3250029300691448,0.2416443767234518,0.6856947912789564,0.2138625185569178,0.2656335383859593,0.2883318752665419,0,1,1,1,1,1,1,0,1,0,1,0,0,2733.99784112637,0.0,22.4286493659834
1683,restaurant_5619.png,162.53,0.9717,0.2363,0.538,0.2691,0.192,0.2802,0.4435,0.3967,-3.119,0.02406,1.342,3.457,restaurant,0.4514791858292505,0.2330270802586279,0.5582313135928951,0.2483151578024136,0.206308244152496,0.1869946479522949,0.3372742223195291,0.2386414398975847,0.7731237326957099,0.2258985587579655,0.2088843545063235,0.2560460451582213,0,1,0,1,1,1,0,0,0,0,0,0,0,4347.4948023489,388.8175646719,19.3592784320129
1684,restaurant_5632.png,91.538,0.03268,0.2595,0.4566,0.1735,0.2443,0.2644,0.3979,0.4132,-2.791,0.01132,1.331,3.929,restaurant,0.5372608043230335,0.3402559046536627,0.5594121367775043,0.2914548022935169,0.271909341909708,0.267604172829093,0.3399421037602517,0.2626170692209947,0.787306030089739,0.2944136103317321,0.2293567525042754,0.2918096183556671,0,1,0,1,1,1,1,0,0,0,0,0,1,3763.39370992742,1032.33377092572,19.5708643832177
1685,restaurant_5633.png,105.054,0.0846,0.3178,0.4411,0.2061,0.2612,0.1941,0.443,0.4494,-2.324,0.01408,1.509,3.979,restaurant,0.4065727472241969,0.2691980918975644,0.4396433696909511,0.2630045195199235,0.2347851236435162,0.2538572460254821,0.3179612632345132,0.2883827801447268,0.7435666432551102,0.2805857128088544,0.2343085130648044,0.2669617261273441,0,1,0,1,1,1,1,0,1,0,0,0,1,3476.35044146227,0.0,20.258446484571
1686,restaurant_5635.png,124.572,0.03333,0.423,0.3539,0.1153,0.3076,0.2632,0.4782,0.3829,-2.693,0.01257,1.387,3.919,restaurant,0.3751030866330881,0.3058044545500546,0.5272575739001283,0.2844571397992876,0.2388515955546094,0.2444947706335268,0.3398822841839721,0.2747120207144994,0.7278647421944242,0.3211227155873773,0.2723444495694085,0.3263371237386943,0,0,0,1,0,0,0,0,0,0,0,0,1,2919.42652255749,722.406237729066,17.728299056396
1687,restaurant_5638.png,125.06,0.08897,0.2762,0.4419,0.09326,0.201,0.2666,0.5092,0.4238,-2.794,0.01259,1.378,3.798,restaurant,0.4842847633506536,0.2724792677962564,0.4769151460134477,0.2721471706650608,0.2113726306539528,0.1950677525910136,0.2994156771541307,0.2414388394678531,0.6996606938278664,0.2601086001856641,0.2766971088538103,0.2684320909512545,0,1,0,1,0,1,1,0,0,0,0,0,1,4184.84727628012,732.716499113181,23.1786794349676
1688,restaurant_5651.png,214.197,0.07051,0.5743,0.4131,0.08188,0.3279,0.3285,0.5061,0.4949,-2.827,0.01706,1.46,3.228,restaurant,0.4720710027739366,0.2973192110047466,0.5038873740881264,0.2897158559721576,0.2572352472461433,0.2476908778783833,0.3823783849228435,0.2917293187299845,0.72856804245547,0.2477595547646614,0.2235832942664082,0.2877735278067127,0,1,0,1,0,1,0,0,0,0,0,0,0,3677.16281120621,0.0,27.8488292302119
