id;session;timestamp;experiment;data.url;data.meta;data.sender;data.sender_type;data.sender_id;data.consent;data.share;data.;data.ended_on;data.duration;data.time_run;data.time_render;data.time_show;data.time_end;data.time_commit;data.timestamp;data.time_switch;data.ProlificID;data.img_idx_practice;data.counter_practice;data.tense;data.energetic;data.img_idx;data.counter_main
19;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;7742,1;135675,1;135674;135679,3;143421,4;143422;2025-03-26T09:10:27.311Z;143448,9;;static\living room_0.png;0.0;6.0;4.0;;
19;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;7759,5;135623,6;135628,6;135661,9;143421,4;143422,7;2025-03-26T09:10:27.312Z;143448,9;;static\living room_0.png;0.0;;;;
19;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,8;143423,2;143430,1;143448,9;143451,2;143452,8;2025-03-26T09:10:27.342Z;143465,7;;static\office room_24.png;1.0;;;;
20;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice Questionnaire;html.Form;3_1_1;;;;form submission;6883,3;143453,1;143451,2;143465,7;150349;150349,6;2025-03-26T09:10:34.239Z;150360,6;;static\office room_24.png;1.0;1.0;7.0;;
20;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_1;;;;completion;6900,1;143423;143430,1;143448,9;150349;150350,2;2025-03-26T09:10:34.239Z;150360,6;;static\office room_24.png;1.0;;;;
20;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice  Screen;canvas.Screen;3_2_0;;;;timeout;16,7;150350,6;150343,9;150360,6;150368,7;150369,1;2025-03-26T09:10:34.258Z;150377,3;;static\restaurant_80.png;2.0;;;;
21;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice Questionnaire;html.Form;3_2_1;;;;form submission;6016,3;150369,4;150368,7;150377,3;156393,6;156394,1;2025-03-26T09:10:40.283Z;156420,6;;static\restaurant_80.png;2.0;4.0;5.0;;
21;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_2;;;;completion;6033;150350,4;150343,9;150360,6;156393,6;156394,6;2025-03-26T09:10:40.284Z;156420,6;;static\restaurant_80.png;2.0;;;;
21;session_1005;26/03/2025 10:10;AIDEI8A;;;Practice Loop;flow.Loop;3;;;;completion;20731,7;135623,2;135628,6;135661,9;156393,6;156396,1;2025-03-26T09:10:40.285Z;156420,6;;;;;;;
22;session_994;26/03/2025 10:10;AIDEI8A;;;Experiment Information;html.Form;2;;;;form submission;92946,974;62447,5;62469,226;62469,226;155416,2;155416,7;2025-03-26T09:08:43.397Z;155428,6;;;;;;;
22;session_994;26/03/2025 10:10;AIDEI8A;;;Practice  Screen;canvas.Screen;3_0_0;;;;timeout;16,7;155417,1;155412,2;155428,6;155436,1;155436,7;2025-03-26T09:08:43.417Z;155445,3;;static\living room_0.png;0.0;;;;
23;session_1005;26/03/2025 10:10;AIDEI8A;;;Experiment Information Main;html.Form;4;;;;form submission;4547;156396,4;156403,9;156420,6;160967,6;160968,2;2025-03-26T09:10:44.857Z;160991,2;;;;;;;
23;session_1005;26/03/2025 10:10;AIDEI8A;;;Screen;canvas.Screen;5_0_0;;;;timeout;16,6;160968,6;160974,5;160991,2;160992,7;160993,2;2025-03-26T09:10:44.882Z;161007,8;;;;;;dining room__228.png;0.0
24;session_986;26/03/2025 10:10;AIDEI8A;;;Experiment Information Main;html.Form;4;;;;form submission;33739,3;150329,8;150321,2;150337,7;184077;184077,4;2025-03-26T09:10:52.012Z;184088,5;;;;;;;
24;session_986;26/03/2025 10:10;AIDEI8A;;;Screen;canvas.Screen;5_0_0;;;;timeout;16,6;184077,6;184071,824;184088,5;184089,2;184089,4;2025-03-26T09:10:52.024Z;184105,1;;;;;;kitchen__299.png;0.0
25;session_1005;26/03/2025 10:10;AIDEI8A;;;Questionnaire;html.Form;5_0_1;;;;form submission;9351,9;160993,5;160992,7;161007,8;170359,7;170360,2;2025-03-26T09:10:54.249Z;170384,9;;;;3.0;5.0;dining room__228.png;0.0
25;session_1005;26/03/2025 10:10;AIDEI8A;;;Sequence;flow.Sequence;5_0;;;;completion;9368,5;160968,5;160974,5;160991,2;170359,7;170360,6;2025-03-26T09:10:54.250Z;170384,9;;;;;;dining room__228.png;0.0
25;session_1005;26/03/2025 10:10;AIDEI8A;;;Screen;canvas.Screen;5_1_0;;;;timeout;16,8;170360,8;170368,2;170384,9;170387;170387,5;2025-03-26T09:10:54.277Z;170401,7;;;;;;dining room__127.png;1.0
26;session_986;26/03/2025 10:11;AIDEI8A;;;Questionnaire;html.Form;5_0_1;;;;form submission;6744,2;184089,6;184089,2;184105,1;190849,3;190849,7;2025-03-26T09:10:58.784Z;190871,7;;;;7.0;5.0;kitchen__299.png;0.0
26;session_986;26/03/2025 10:11;AIDEI8A;;;Sequence;flow.Sequence;5_0;;;;completion;6760,8;184077,5;184071,824;184088,5;190849,3;190850;2025-03-26T09:10:58.785Z;190871,7;;;;;;kitchen__299.png;0.0
26;session_986;26/03/2025 10:11;AIDEI8A;;;Screen;canvas.Screen;5_1_0;;;;timeout;16,7;190850,1;190838,658;190871,7;190872,4;190872,7;2025-03-26T09:10:58.807Z;190888,4;;;;;;restaurant__86.png;1.0
27;session_994;26/03/2025 10:11;AIDEI8A;;;Practice Questionnaire;html.Form;3_0_1;;;;form submission;15002,9;155437;155436,1;155445,3;170448,2;170448,7;2025-03-26T09:08:58.429Z;170460,2;;static\living room_0.png;0.0;6.0;4.0;;
27;session_994;26/03/2025 10:11;AIDEI8A;;;Practice  Sequence;flow.Sequence;3_0;;;;completion;15019,6;155417,1;155412,2;155428,6;170448,2;170449,2;2025-03-26T09:08:58.429Z;170460,2;;static\living room_0.png;0.0;;;;
27;session_994;26/03/2025 10:11;AIDEI8A;;;Practice  Screen;canvas.Screen;3_1_0;;;;timeout;16,7;170449,4;170443,6;170460,2;170462,2;170462,6;2025-03-26T09:08:58.443Z;170476,9;;static\office room_24.png;1.0;;;;
28;session_1005;26/03/2025 10:11;AIDEI8A;;;Questionnaire;html.Form;5_1_1;;;;form submission;5290,9;170387,8;170387;170401,7;175692,6;175693;2025-03-26T09:10:59.582Z;175709,5;;;;5.0;5.0;dining room__127.png;1.0
28;session_1005;26/03/2025 10:11;AIDEI8A;;;Sequence;flow.Sequence;5_1;;;;completion;5307,7;170360,7;170368,2;170384,9;175692,6;175693,4;2025-03-26T09:10:59.582Z;175709,5;;;;;;dining room__127.png;1.0
28;session_1005;26/03/2025 10:11;AIDEI8A;;;Screen;canvas.Screen;5_2_0;;;;timeout;16,8;175693,6;175692,8;175709,5;175711,2;175711,6;2025-03-26T09:10:59.601Z;175726,3;;;;;;attention_check_4.png;2.0
29;session_986;26/03/2025 10:11;AIDEI8A;;;Questionnaire;html.Form;5_1_1;;;;form submission;8440,1;190872,7;190872,4;190888,4;199328,5;199328,8;2025-03-26T09:11:07.264Z;199338,6;;;;7.0;7.0;restaurant__86.png;1.0
