image,tense,energetic,valence,approach,room_type
bedroom__201.png,1.375,3.0,6.045454545454546,6.181818181818182,bedroom
bedroom__202.png,1.375,2.9583333333333335,6.75,6.583333333333333,bedroom
bedroom__203.png,2.0416666666666665,2.5,4.375,4.375,bedroom
bedroom__204.png,1.4782608695652173,2.391304347826087,5.958333333333333,6.041666666666667,bedroom
bedroom__205.png,1.7916666666666667,2.0,6.041666666666667,6.291666666666667,bedroom
bedroom__206.png,1.5833333333333333,3.0833333333333335,5.947368421052632,6.157894736842105,bedroom
bedroom__207.png,2.3043478260869565,3.0434782608695654,4.708333333333333,4.375,bedroom
bedroom__208.png,2.3333333333333335,3.2916666666666665,4.826086956521739,4.869565217391305,bedroom
bedroom__209.png,3.142857142857143,3.4761904761904763,4.166666666666667,4.125,bedroom
bedroom__21.png,3.0952380952380953,2.857142857142857,5.521739130434782,5.304347826086956,bedroom
bedroom__210.png,2.375,3.25,4.3478260869565215,3.9565217391304346,bedroom
bedroom__211.png,2.6666666666666665,2.8333333333333335,4.791666666666667,4.75,bedroom
bedroom__212.png,2.0416666666666665,2.625,5.0,5.291666666666667,bedroom
bedroom__213.png,1.608695652173913,3.0869565217391304,6.125,6.125,bedroom
bedroom__214.png,2.7916666666666665,3.4166666666666665,4.958333333333333,4.708333333333333,bedroom
bedroom__215.png,2.0416666666666665,2.7916666666666665,5.0,4.958333333333333,bedroom
bedroom__216.png,2.9130434782608696,2.608695652173913,3.4166666666666665,3.0833333333333335,bedroom
bedroom__217.png,2.875,2.5833333333333335,4.6,4.45,bedroom
bedroom__218.png,2.7142857142857144,2.6666666666666665,4.041666666666667,3.9166666666666665,bedroom
bedroom__219.png,2.7083333333333335,3.5416666666666665,3.3043478260869565,3.1739130434782608,bedroom
bedroom__22.png,4.857142857142857,3.1904761904761907,2.75,2.5416666666666665,bedroom
bedroom__220.png,2.4166666666666665,2.75,5.631578947368421,5.2631578947368425,bedroom
bedroom__221.png,1.7272727272727273,1.8636363636363635,5.25,5.166666666666667,bedroom
bedroom__222.png,1.6956521739130435,2.739130434782609,5.916666666666667,5.75,bedroom
bedroom__223.png,3.0416666666666665,2.625,4.0,3.9166666666666665,bedroom
bedroom__224.png,2.142857142857143,3.5714285714285716,5.5,5.5,bedroom
bedroom__225.png,1.4583333333333333,2.125,5.958333333333333,6.166666666666667,bedroom
bedroom__226.png,1.7619047619047619,2.7142857142857144,5.541666666666667,5.708333333333333,bedroom
bedroom__227.png,1.391304347826087,2.608695652173913,6.041666666666667,6.25,bedroom
bedroom__228.png,2.0,3.2916666666666665,5.086956521739131,4.913043478260869,bedroom
bedroom__229.png,3.0416666666666665,3.25,3.5833333333333335,3.5,bedroom
bedroom__23.png,2.0416666666666665,2.4583333333333335,4.791666666666667,4.916666666666667,bedroom
bedroom__230.png,3.5,3.4166666666666665,3.5,3.2916666666666665,bedroom
bedroom__231.png,1.5833333333333333,2.875,5.583333333333333,5.791666666666667,bedroom
bedroom__232.png,3.0,3.375,4.391304347826087,4.043478260869565,bedroom
bedroom__233.png,4.083333333333333,3.625,2.5217391304347827,2.6956521739130435,bedroom
bedroom__234.png,3.375,3.5416666666666665,4.0,4.052631578947368,bedroom
bedroom__235.png,3.125,3.7083333333333335,4.0,3.9166666666666665,bedroom
bedroom__236.png,2.9166666666666665,3.2916666666666665,4.0,4.304347826086956,bedroom
bedroom__237.png,2.4347826086956523,3.260869565217391,5.2105263157894735,5.368421052631579,bedroom
bedroom__238.png,2.3333333333333335,3.4583333333333335,4.375,4.291666666666667,bedroom
bedroom__239.png,3.619047619047619,2.6666666666666665,4.458333333333333,4.5,bedroom
bedroom__24.png,1.6956521739130435,4.130434782608695,5.625,5.875,bedroom
bedroom__240.png,2.4782608695652173,2.6956521739130435,4.578947368421052,4.315789473684211,bedroom
bedroom__241.png,1.5416666666666667,2.7916666666666665,5.521739130434782,5.608695652173913,bedroom
bedroom__242.png,2.625,2.8333333333333335,4.045454545454546,3.9545454545454546,bedroom
bedroom__243.png,5.476190476190476,4.238095238095238,2.2916666666666665,2.2916666666666665,bedroom
